service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S126230_21,0,0,0,0,0,0,1,2026-07-05,2026-09-21
S126230_796,1,1,1,1,0,0,0,2026-07-05,2026-09-21
S126230_14,0,0,0,0,0,1,0,2026-07-05,2026-09-21
S126230_10,0,0,0,0,1,0,0,2026-07-05,2026-09-21
S118551_21,0,0,0,0,0,0,1,2026-06-23,2026-07-04
S118551_32,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S118551_14,0,0,0,0,0,1,0,2026-06-23,2026-07-04
S126231_21,0,0,0,0,0,0,1,2026-07-05,2026-09-21
S126231_32,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S126231_14,0,0,0,0,0,1,0,2026-07-05,2026-09-21
S118552_32,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S118552_21,0,0,0,0,0,0,1,2026-06-23,2026-07-04
